,name,artist,release,peak,duration,SemiYearID,WeekID,QuarterID
4579,another night,wilson bros.,1979.75,94,2,1979.5,1979-10-06,1979.75
4580,rev it up,newcity rockers,1987.666666666667,86,4,1987.5,1987-09-12,1987.5
4581,counting the days,joey kid,1990.333333333333,70,12,1990.0,1990-05-05,1990.25
4582,the keeper of the stars,tracy byrd,1995.25,68,7,1995.0,1995-04-01,1995.25
4583,8th of november,big & rich,2006.5,94,2,2006.0,2006-07-22,2006.5
4584,powerful,major lazer featuring ellie goulding & tarrus riley,2015.75,83,6,2015.5,2015-10-10,2015.75
4585,don't be cruel,barbara lynn,1963.083333333333,93,4,1963.0,1963-02-23,1963.0
4586,"signed, sealed, and delivered",james brown and the famous flames,1963.75,77,5,1963.5,1963-10-12,1963.75
4587,stop monkeyin' aroun',the dovells,1963.833333333333,94,2,1963.5,1963-11-09,1963.75
4588,taste of tears,johnny mathis,1964.416666666667,87,3,1964.0,1964-06-20,1964.25
4589,don't spread it around,barbara lynn,1964.75,93,3,1964.5,1964-10-03,1964.75
4590,1984,spirit,1970.083333333333,69,9,1970.0,1970-02-07,1970.0
4591,desdemona,the searchers,1971.666666666667,94,2,1971.5,1971-09-04,1971.5
4592,can you get to that,funkadelic,1971.666666666667,93,3,1971.5,1971-09-11,1971.5
4593,summer sun,jamestown massacre,1972.583333333333,90,5,1972.5,1972-08-12,1972.5
4594,dancin' (on a saturday night),flash cadillac and the continental kids,1974.333333333333,93,3,1974.0,1974-05-25,1974.25
4595,tell the world how i feel about 'cha baby,harold melvin and the blue notes,1976.25,94,2,1976.0,1976-04-17,1976.25
4596,rock creek park,the blackbyrds,1976.5,93,3,1976.0,1976-07-17,1976.5
4597,cathedrals,d.c. larue,1976.833333333333,94,2,1976.5,1976-11-06,1976.75
4598,all the kids on the street,the hollywood stars,1977.333333333333,94,4,1977.0,1977-05-14,1977.25
4599,ridin' the storm out,reo speedwagon,1977.333333333333,94,3,1977.0,1977-05-28,1977.25
4600,shy boys,ana,1987.5,94,3,1987.0,1987-07-11,1987.5
4601,advice for the young at heart,tears for fears,1990.166666666667,89,4,1990.0,1990-03-10,1990.0
4602,ain't nobody,diana king,1996.166666666667,94,4,1996.0,1996-03-16,1996.0
4603,speed,montgomery gentry,2003.166666666667,47,20,2003.0,2003-03-22,2003.0
4604,dangerous,david guetta featuring sam martin,2014.833333333333,56,15,2014.5,2014-11-08,2014.75
4605,panda,desiigner,2016.166666666667,1,40,2016.0,2016-03-12,2016.0
4606,the basie twist,count basie & his orch.,1962.0,94,2,1962.0,1962-01-13,1962.0
4607,shout,lulu and the luvers,1964.583333333333,94,6,1964.5,1964-08-01,1964.5
4608,(i'm a) road runner,jr. walker & the all stars,1966.25,20,12,1966.0,1966-04-09,1966.25
4609,all your goodies are gone (the loser's seat),the parliaments,1967.75,80,7,1967.5,1967-10-14,1967.75
4610,apologize,ed ames,1968.333333333333,79,6,1968.0,1968-05-11,1968.25
4611,boogie woogie man,paul davis,1972.916666666667,68,9,1972.5,1972-12-23,1972.75
4612,am i black enough for you,billy paul,1973.25,79,5,1973.0,1973-04-07,1973.25
4613,brother's gonna work it out,willie hutch,1973.333333333333,67,10,1973.0,1973-05-19,1973.25
4614,rolling down a mountainside,the main ingredient,1975.333333333333,92,3,1975.0,1975-05-24,1975.25
4615,art for art's sake,10cc,1975.833333333333,83,6,1975.5,1975-11-29,1975.75
4616,shoot me (with your love),tasha thomas,1979.0,91,5,1979.0,1979-01-27,1979.0
4617,almost home,mary chapin carpenter,1999.5,85,7,1999.0,1999-07-17,1999.5
4618,rise above this,seether,2008.333333333333,91,11,2008.0,2008-05-03,2008.25
4619,could it be,charlie worsham,2013.666666666667,94,2,2013.5,2013-09-28,2013.5
4620,"bells, bells, bells (the bell song)",billy & lillie,1959.5,88,6,1959.0,1959-07-11,1959.5
4621,ask me,inez foxx,1964.0,91,3,1964.0,1964-01-25,1964.0
4622,river deep-mountain high,ike & tina turner featuring tina,1966.333333333333,88,4,1966.0,1966-05-28,1966.25
4623,but i do,bobby vinton,1972.916666666667,82,6,1972.5,1972-12-30,1972.75
4624,a little bit like magic,king harvest,1973.333333333333,91,4,1973.0,1973-05-05,1973.25
4625,stealin',uriah heep,1973.75,91,7,1973.5,1973-10-13,1973.75
4626,baby-get it on,ike & tina turner,1975.416666666667,88,4,1975.0,1975-06-07,1975.25
4627,chocolate city,parliament,1975.416666666667,94,3,1975.0,1975-06-14,1975.25
4628,amazing grace (used to be her favorite song),amazing rhythm aces,1975.916666666667,72,8,1975.5,1975-12-20,1975.75
4629,scotch on the rocks,the band of the black watch,1976.0,75,9,1976.0,1976-01-31,1976.0
4630,caledonia,robin trower,1976.916666666667,82,7,1976.5,1976-12-04,1976.75
4631,devil's gun,c.j. & company,1977.333333333333,36,29,1977.0,1977-05-21,1977.25
4632,psycho killer,talking heads,1978.083333333333,92,5,1978.0,1978-02-18,1978.0
4633,dancing in paradise,el coco,1978.75,91,6,1978.5,1978-10-28,1978.75
4634,the breaks (part 1),kurtis blow,1980.666666666667,87,6,1980.5,1980-09-06,1980.5
4635,devil's haircut,beck,1996.833333333333,94,4,1996.5,1996-11-09,1996.75
4636,cherrystone,addrisi brothers,1959.333333333333,62,6,1959.0,1959-05-30,1959.25
4637,cowboy jimmy joe (die sterne der prarie),lolita,1961.083333333333,94,3,1961.0,1961-02-04,1961.0
4638,stoned cowboy,fantasy,1970.666666666667,77,11,1970.5,1970-09-19,1970.5
4639,and i love you so,bobby goldsboro,1971.333333333333,83,6,1971.0,1971-05-08,1971.25
4640,best thing that ever happened to me,the persuaders,1974.166666666667,85,6,1974.0,1974-03-02,1974.0
4641,radar love,golden earring,1974.333333333333,13,20,1974.0,1974-05-11,1974.25
4642,dj girl,katalina,1996.666666666667,86,11,1996.5,1996-09-14,1996.5
4643,all i need,fat joe featuring tony sunshine & armageddon,2003.083333333333,86,8,2003.0,2003-02-15,2003.0
4644,dig,incubus,2007.333333333333,94,3,2007.0,2007-05-05,2007.25
4645,check my brain,alice in chains,2009.75,92,4,2009.5,2009-10-03,2009.75
4646,do you love me,the contours,1962.583333333333,3,34,1962.5,1962-08-11,1962.5
4647,preacherman,charlie russo,1963.166666666667,92,5,1963.0,1963-03-30,1963.0
4648,reach out for me,lou johnson,1963.75,74,8,1963.5,1963-10-19,1963.75
4649,a taste of honey,tony bennett,1964.583333333333,94,3,1964.5,1964-08-22,1964.5
4650,soul sauce (guacha guaro),cal tjader,1965.416666666667,88,5,1965.0,1965-06-05,1965.25
4651,soul finger,bar-kays,1967.333333333333,17,15,1967.0,1967-05-20,1967.25
4652,born free,the hesitations,1968.0,38,10,1968.0,1968-01-06,1968.0
4653,singing my song,tammy wynette,1969.25,75,5,1969.0,1969-04-12,1969.25
4654,"baby, i'm yours",jody miller,1971.75,91,4,1971.5,1971-10-09,1971.75
4655,standing in for jody,johnnie taylor (the soul philosopher),1972.0,74,7,1972.0,1972-01-22,1972.0
4656,slow motion (part 1),johnny williams,1973.0,78,7,1973.0,1973-01-06,1973.0
4657,dancing to your music,archie bell & the drells,1973.166666666667,61,9,1973.0,1973-03-17,1973.0
4658,come live with me,ray charles,1973.833333333333,82,6,1973.5,1973-11-17,1973.75
4659,believe half of what you see (and none of what you hear),leon haywood,1975.083333333333,94,2,1975.0,1975-02-08,1975.0
4660,size matters (someday),joe nichols,2006.25,71,14,2006.0,2006-04-15,2006.25
4661,cleaning this gun (come on in boy),rodney atkins,2007.916666666667,40,20,2007.5,2007-12-08,2007.75
4662,break the rules,charli xcx,2014.916666666667,91,3,2014.5,2014-12-27,2014.75
4663,a thousand years,christina perri,2011.833333333333,31,26,2011.5,2011-11-05,2011.75
4664,black suits comin' (nod ya head),will smith featuring tra-knox,2002.416666666667,77,3,2002.0,2002-06-29,2002.25
4665,be true to yourself,2nd ii none,1992.0,78,2,1992.0,1992-01-11,1992.0
4666,shake me down,cage the elephant,2011.0,78,4,2011.0,2011-01-29,2011.0
4667,boyfriend,big time rush,2011.166666666667,72,11,2011.0,2011-03-12,2011.0
4668,purple medley,prince,1995.25,84,2,1995.0,1995-04-01,1995.25
4669,dj keep playin' (get your music on),yvette michele,1997.833333333333,84,7,1997.5,1997-11-15,1997.75
4670,b**** i'm madonna,madonna featuring nicki minaj,2015.5,84,2,2015.0,2015-07-04,2015.5
4671,stimulation,wa wa nee,1988.0,86,2,1988.0,1988-01-30,1988.0
4672,papa'z song,2pac duet with mopreme,1994.25,87,2,1994.0,1994-04-09,1994.25
4673,popular song,mika featuring ariana grande,2013.666666666667,87,2,2013.5,2013-09-21,2013.5
4674,southernplayalisticadillacmuzik,outkast,1994.5,74,10,1994.0,1994-07-16,1994.5
4675,cover you in kisses,john michael montgomery,1998.583333333333,91,9,1998.5,1998-08-01,1998.5
4676,all because of you,marques houston featuring young rome,2005.333333333333,69,10,2005.0,2005-05-07,2005.25
4677,cookin',al casey combo,1962.25,92,2,1962.0,1962-04-07,1962.25
4678,don't fence me in,george maharis,1963.083333333333,93,2,1963.0,1963-02-23,1963.0
4679,bad times,tavares,1980.0,47,10,1980.0,1980-01-05,1980.0
4680,still cruisin',the beach boys,1989.583333333333,93,3,1989.5,1989-08-26,1989.5
4681,say somethin',mariah carey featuring snoop dogg,2006.25,79,5,2006.0,2006-04-29,2006.25
4682,save your sugar for me,tony joe white,1970.583333333333,94,2,1970.5,1970-08-08,1970.5
4683,solitude standing,suzanne vega,1987.666666666667,94,3,1987.5,1987-09-12,1987.5
4684,that's just what you are,aimee mann,1995.0,93,6,1995.0,1995-01-21,1995.0
4685,boyfriend/girlfriend,c-side featuring keyshia cole,2008.25,72,7,2008.0,2008-04-19,2008.25
4686,dear future husband,meghan trainor,2014.666666666667,14,24,2014.5,2014-09-27,2014.5
4687,shirl girl,wayne newton and the newton brothers,1963.75,58,7,1963.5,1963-10-26,1963.75
4688,runnin' out of fools,aretha franklin,1964.666666666667,57,10,1964.5,1964-09-19,1964.5
4689,back street,edwin starr,1965.916666666667,95,2,1965.5,1965-12-11,1965.75
4690,respect,the rationals,1966.833333333333,92,3,1966.5,1966-11-12,1966.75
4691,different strokes,syl johnson,1967.75,95,2,1967.5,1967-10-14,1967.75
4692,somebody's sleeping in my bed,johnnie taylor,1967.916666666667,95,2,1967.5,1967-12-16,1967.75
4693,people world,jim & jean,1968.083333333333,94,3,1968.0,1968-02-03,1968.0
4694,battle of new orleans,harpers bizarre,1968.666666666667,95,2,1968.5,1968-09-21,1968.5
4695,don't tell your mama (where you've been),eddie floyd,1969.416666666667,73,7,1969.0,1969-06-28,1969.25
4696,that's the way,joe tex,1969.5,94,3,1969.0,1969-07-19,1969.5
4697,don't worry baby,the tokens,1970.166666666667,95,2,1970.0,1970-03-07,1970.0
4698,adrienne,tommy james,1971.166666666667,93,3,1971.0,1971-03-20,1971.0
4699,butterfly,danyel gerard,1972.416666666667,78,9,1972.0,1972-06-10,1972.25
4700,slick,willie hutch,1973.583333333333,65,6,1973.5,1973-08-11,1973.5
4701,please don't tell me how the story ends,ronnie milsap,1974.666666666667,95,2,1974.5,1974-09-14,1974.5
4702,our last song together,bo donaldson and the heywoods,1975.5,95,2,1975.0,1975-07-05,1975.5
4703,since you've been gone,cherie & marie currie,1979.75,95,3,1979.5,1979-10-20,1979.75
4704,chain reaction,diana ross,1985.833333333333,66,11,1985.5,1985-11-30,1985.75
4705,ronnies rapp,ron and the d.c. crew,1987.0,93,4,1987.0,1987-01-24,1987.0
4706,dear god,midge ure,1989.166666666667,95,5,1989.0,1989-03-11,1989.0
4707,rockin' over the beat,technotronic,1990.833333333333,95,3,1990.5,1990-11-17,1990.75
4708,don't hold back your love,daryl hall john oates,1991.0,41,11,1991.0,1991-01-05,1991.0
4709,peace of mind (love goes on),one 2 one,1992.166666666667,95,2,1992.0,1992-03-07,1992.0
4710,stop the world,extreme,1993.083333333333,95,3,1993.0,1993-02-20,1993.0
4711,scent of attraction,patra duet with aaron hall,1996.166666666667,82,7,1996.0,1996-03-16,1996.0
4712,soul food,goodie mob,1996.166666666667,64,9,1996.0,1996-03-30,1996.0
4713,someone you used to know,collin raye,1998.833333333333,37,14,1998.5,1998-11-21,1998.75
4714,pour me,trick pony,2001.083333333333,71,14,2001.0,2001-02-03,2001.0
4715,the impossible,joe nichols,2002.416666666667,29,21,2002.0,2002-06-01,2002.25
4716,choppa style,choppa featuring master p,2003.166666666667,94,6,2003.0,2003-03-08,2003.0
4717,cop that sh#!,timbaland & magoo featuring missy elliott,2003.583333333333,95,2,2003.5,2003-08-23,2003.5
4718,another postcard (chimps),barenaked ladies,2003.75,82,15,2003.5,2003-10-18,2003.75
4719,diamond girl,ryan leslie,2008.166666666667,95,3,2008.0,2008-03-29,2008.0
4720,bumble bee,lavern baker,1960.833333333333,46,11,1960.5,1960-11-12,1960.75
4721,a lover's concerto,mrs. miller,1966.333333333333,95,2,1966.0,1966-05-07,1966.25
4722,shake hands and walk away cryin',lou christie,1967.25,95,2,1967.0,1967-04-29,1967.25
4723,tell someone you love them,"dino, desi & billy",1968.583333333333,92,4,1968.5,1968-08-10,1968.5
4724,say you love me,the impressions,1969.75,58,9,1969.5,1969-10-18,1969.75
4725,didn't it look so easy,the stairsteps,1971.083333333333,81,6,1971.0,1971-02-06,1971.0
4726,caught in a dream,alice cooper,1971.416666666667,94,3,1971.0,1971-06-12,1971.25
4727,open the door (song for judith),judy collins,1971.916666666667,90,7,1971.5,1971-12-18,1971.75
4728,sweet baby,donnie elbert,1972.0,92,4,1972.0,1972-01-22,1972.0
4729,rubber bullets,10cc,1973.666666666667,73,8,1973.5,1973-09-15,1973.5
4730,show and tell,al wilson,1973.75,1,22,1973.5,1973-10-20,1973.75
4731,(everybody wanna get rich) rite away,dr. john,1974.333333333333,92,4,1974.0,1974-05-11,1974.25
4732,robert de niro's waiting,bananarama,1984.333333333333,95,2,1984.0,1984-05-19,1984.25
4733,prove me wrong,david pack,1986.0,95,3,1986.0,1986-01-25,1986.0
4734,the greatest romance ever sold,prince,1999.75,63,13,1999.5,1999-10-23,1999.75
4735,biology,danny valentino,1960.416666666667,95,2,1960.0,1960-06-04,1960.25
4736,sugar plum,ike clanton,1962.583333333333,95,2,1962.5,1962-08-04,1962.5
4737,sweet little sixteen,jerry lee lewis,1962.666666666667,95,3,1962.5,1962-09-15,1962.5
4738,"please, please, please",james brown and the famous flames,1964.083333333333,95,2,1964.0,1964-02-15,1964.0
4739,chained and bound,otis redding,1964.75,70,7,1964.5,1964-10-24,1964.75
4740,break up,del shannon,1965.333333333333,95,3,1965.0,1965-05-22,1965.25
4741,don't touch me,jeannie seely,1966.333333333333,85,5,1966.0,1966-05-28,1966.25
4742,red roses for mom,bobby vinton,1967.333333333333,95,2,1967.0,1967-05-20,1967.25
4743,bring back those rockabye baby days,tiny tim,1968.583333333333,95,2,1968.5,1968-08-24,1968.5
4744,do the funky penguin part i,rufus thomas,1971.916666666667,44,10,1971.5,1971-12-25,1971.75
4745,sweet sixteen,b.b. king,1972.166666666667,93,3,1972.0,1972-03-04,1972.0
4746,blockbuster,the sweet,1973.416666666667,73,7,1973.0,1973-06-16,1973.25
4747,swing your daddy,jim gilstrap,1975.166666666667,55,9,1975.0,1975-03-08,1975.0
4748,do it with feeling,michael zager's moon band/peabo bryson,1976.166666666667,94,3,1976.0,1976-03-20,1976.0
4749,arms of mary,sutherland brothers and quiver,1976.25,81,5,1976.0,1976-04-10,1976.25
4750,silver heels,blaze,1976.916666666667,95,2,1976.5,1976-12-11,1976.75
4751,"1,000 laughs",eloise laws,1978.0,91,6,1978.0,1978-01-14,1978.0
4752,broken land,the adventures,1988.25,95,3,1988.0,1988-04-30,1988.25
4753,posse on broadway,sir mix-a-lot,1988.916666666667,70,9,1988.5,1988-12-17,1988.75
4754,darlin' i,vanessa williams,1989.416666666667,88,4,1989.0,1989-06-03,1989.25
4755,always tomorrow,gloria estefan,1992.75,81,6,1992.5,1992-10-31,1992.75
4756,died in your arms,intonation featuring joee,1995.5,86,7,1995.0,1995-07-08,1995.5
4757,sometimes i miss you so much (dedicated to the christ consciousness),p.m. dawn,1995.916666666667,95,5,1995.5,1995-12-23,1995.75
4758,bubble butt,"major lazer featuring bruno mars, tyga & mystic",2013.416666666667,56,9,2013.0,2013-06-29,2013.25
4759,all kinds of kinds,miranda lambert,2013.75,89,5,2013.5,2013-10-26,2013.75
4760,don't let the sun catch you cryin',ray charles,1960.083333333333,95,2,1960.0,1960-02-06,1960.0
4761,smile,ferrante & teicher,1962.166666666667,94,3,1962.0,1962-03-17,1962.0
4762,adios amigo,jim reeves,1962.333333333333,90,6,1962.0,1962-05-05,1962.25
4763,baby elephant walk,the miniature men,1962.416666666667,87,4,1962.0,1962-06-09,1962.25
4764,say wonderful things,patti page,1963.416666666667,81,7,1963.0,1963-06-01,1963.25
4765,soul dressing,booker t. & the mg's,1964.583333333333,95,2,1964.5,1964-08-15,1964.5
4766,can't you see (you're losing me),mary wells,1966.0,94,3,1966.0,1966-01-22,1966.0
4767,dirty water,the standells,1966.25,11,16,1966.0,1966-04-23,1966.25
4768,tell mama,etta james,1967.833333333333,23,14,1967.5,1967-11-11,1967.75
4769,"que sera, sera (whatever will be, will be)",mary hopkin,1970.5,77,5,1970.0,1970-07-11,1970.5
4770,that's the way i've always heard it should be,carly simon,1971.25,10,17,1971.0,1971-04-17,1971.25
4771,call me up in dreamland,van morrison,1971.416666666667,95,2,1971.0,1971-06-05,1971.25
4772,roll on,the new colony six,1971.583333333333,56,9,1971.5,1971-08-21,1971.5
4773,banks of the ohio,olivia newton-john,1971.75,94,4,1971.5,1971-10-16,1971.75
4774,cosmic sea,the mystic moods,1973.25,83,6,1973.0,1973-04-21,1973.25
4775,silver threads and golden needles,linda ronstadt,1974.25,67,7,1974.0,1974-04-06,1974.25
4776,between her goodbye and my hello,gladys knight and the pips,1974.416666666667,57,9,1974.0,1974-06-29,1974.25
4777,candy's going bad,golden earring,1974.75,91,4,1974.5,1974-10-19,1974.75
4778,africanism/gimme some lovin',kongas,1978.25,84,7,1978.0,1978-04-08,1978.25
4779,seasons,grace slick,1980.25,95,2,1980.0,1980-04-19,1980.25
4780,(believed you were) lucky,'til tuesday,1989.0,95,3,1989.0,1989-01-21,1989.0
4781,superstar,charm farm,1996.666666666667,89,4,1996.5,1996-09-21,1996.5
4782,come into my world,kylie minogue,2002.916666666667,91,8,2002.5,2002-12-14,2002.75
4783,"save me, san francisco",train,2011.5,75,11,2011.0,2011-07-09,2011.5
4784,teach me tiger,april stevens,1959.833333333333,86,3,1959.5,1959-11-28,1959.75
4785,smokie-part 2,bill doggett,1960.0,95,2,1960.0,1960-01-02,1960.0
4786,the girl's a devil,the dukays,1961.333333333333,64,13,1961.0,1961-05-13,1961.25
4787,reap what you sow,billy stewart,1962.5,79,5,1962.0,1962-07-21,1962.5
4788,don't wait too long,tony bennett,1963.75,54,7,1963.5,1963-10-12,1963.75
4789,pass me by,peggy lee,1965.083333333333,93,3,1965.0,1965-02-27,1965.0
4790,after loving you,della reese,1965.5,95,2,1965.0,1965-07-31,1965.5
4791,"baby, help me",percy sledge,1967.083333333333,87,5,1967.0,1967-02-18,1967.0
4792,alligator bogaloo,lou donaldson,1967.833333333333,93,4,1967.5,1967-11-04,1967.75
4793,cross my heart,billy stewart,1967.916666666667,86,9,1967.5,1967-12-02,1967.75
4794,almost in love,elvis presley with the jordanaires,1968.666666666667,95,2,1968.5,1968-09-28,1968.5
4795,spill the wine,eric burdon and war,1970.333333333333,3,21,1970.0,1970-05-23,1970.25
4796,questions,bang,1972.25,90,6,1972.0,1972-04-22,1972.25
4797,pass the peas,the jb's,1972.333333333333,95,2,1972.0,1972-05-27,1972.25
4798,sing a song/make your own kind of music,barbra streisand,1972.666666666667,94,3,1972.5,1972-09-30,1972.5
4799,outlaw man,david blue,1973.333333333333,94,4,1973.0,1973-05-12,1973.25
4800,"""having a party"" medley",the ovations (featuring louis williams),1973.75,56,9,1973.5,1973-10-13,1973.75
4801,breakfast for two,country joe mcdonald,1975.833333333333,92,7,1975.5,1975-11-29,1975.75
4802,can't change my heart,cate bros.,1976.5,91,3,1976.0,1976-07-24,1976.5
4803,sheena is a punk rocker,the ramones,1977.5,81,13,1977.0,1977-07-02,1977.5
4804,shut up,"trick daddy featuring duece poppito, trina, co",2000.333333333333,83,11,2000.0,2000-05-20,2000.25
4805,still fly,big tymers,2002.25,11,24,2002.0,2002-04-13,2002.25
